hotel,price,score,reviews_count,review_text,free_cancellation
H10 Corregidor Boutique Hotel, 343,9.1,2180,wonderful,No Free Cancellation
Catalonia Giralda, 290,8.6,5940,excellent,Free Cancellation
La casa del duque 1, 262,8.2,12,very good,Free Cancellation
Yaramar, 364,7.9,89,good,No Free Cancellation
GBH Hotel-Apartamentos Posidonia, 363,9.1,577,wonderful,No Free Cancellation
Casa Natura Sunset Beach, 340,9.1,42,wonderful,Free Cancellation
MeliÃ¡ La Palma, 663,8.3,143,very good,No Free Cancellation
Hotel Corona de Castilla Burgos, 239,8.1,1884,very good,Free Cancellation
Reul Alto Cortijos Rurales, 369,9.6,55,exceptional,Free Cancellation
Finca El Chaparral, 450,9,149,wonderful,No Free Cancellation
Ibis Styles A Coruna, 236,8.4,2179,very good,No Free Cancellation
El Ancla, 436,7.8,1308,good,Free Cancellation
AGH Canet, 276,8.1,1330,very good,Free Cancellation
THB Lanzarote Beach, 482,7.7,859,good,Free Cancellation
Duna Hotel Boutique, 244,8.6,2446,excellent,Free Cancellation
Ona Valle Romano Golf & Resort, 256,8.3,9896,very good,Free Cancellation
Hotel Plaza Nueva, 223,8.4,2810,very good,Free Cancellation
Itaca Artemisa by Soho Boutique, 268,8.1,1702,very good,Free Cancellation
Casual del Cine Valencia, 242,8.1,4563,very good,Free Cancellation
UMusic Hotel Madrid, 780,8.8,3133,excellent,No Free Cancellation
Hotel Cal Rei de TallÃ³, 448,8.8,162,excellent,Free Cancellation
Apartamentos Soho Boutique Palillero, 280,9.3,1043,wonderful,Free Cancellation
Casona de San AndrÃ©s Boutique Hotel, 302,8.5,4894,very good,Free Cancellation
MartÃ­, 596,9.5,54,exceptional,Free Cancellation
La casa de SerafÃ­n y Manoli, 901,9.8,20,exceptional,No Free Cancellation
Hostal R-Conecta, 308,9.2,53,wonderful,Free Cancellation
Hotel MeliÃ¡ Bilbao, 960,8.7,3393,excellent,Free Cancellation
H10 Casa Mimosa 4* Sup," 1,383",9.3,1028,wonderful,Free Cancellation
Hotel LIVVO Fataga, 534,8.4,1156,very good,Free Cancellation
NATURA ROOMS, 302,7.9,169,good,Free Cancellation
BarcelÃ³ Margaritas, 880,8.3,1827,very good,Free Cancellation
AncÃ³n Suites, 543,9.1,158,wonderful,No Free Cancellation
Marine Lovers - Jacuzzi Fuerteventura, 564,9,77,wonderful,Free Cancellation
BarcelÃ³ Playa Blanca," 1,008",8.4,765,very good,Free Cancellation
Apartamentos Boutique Granada AlbaicÃ­n 3000, 236,8.4,1189,very good,No Free Cancellation
Catalonia Las Vegas - Adults Only, 506,8,1470,very good,Free Cancellation
Leonardo Hotel San SebastiÃ¡n, 275,8.8,6480,excellent,No Free Cancellation
Hotel & Restaurant Marina PalamÃ³s, 222,8.3,2626,very good,No Free Cancellation
Hotel Guadalajara & Conference Center Affiliated by MeliÃ¡, 371,8.3,1536,very good,No Free Cancellation
Atico Duplex 1Âª, 667,9,72,wonderful,Free Cancellation
Homity Holidays - Playa Granada - Mar de Astrid, 364,9.5,378,exceptional,No Free Cancellation
"Beautiful Penthouse apartment on Golden mile, near beach", 972,9.5,19,exceptional,No Free Cancellation
HospederÃ­a BaÃ±os Arabes de CÃ³rdoba Dos, 380,8.9,1311,excellent,Free Cancellation
Hotel Hispania, 268,8,3794,very good,Free Cancellation
Sacristia de Santa Ana, 241,8.5,1567,very good,No Free Cancellation
Principado Benidorm Suites Levante, 371,9.7,158,exceptional,No Free Cancellation
FantÃ¡stico DÃºplex con vistas y terraza, 344,8.8,32,excellent,Free Cancellation
Petit Malaga Congress, 223,8.2,1655,very good,No Free Cancellation
Patio del Lino, 302,9,657,wonderful,Free Cancellation
ALOJAMIENTO ARAHAL - RONDA, 280,9.2,729,wonderful,No Free Cancellation
Casa Vestali, 189,9,839,wonderful,No Free Cancellation
Hostel Alicante, 356,7.2,1296,good,No Free Cancellation
Casa rural la luz de Ari," 1,400",9.7,22,exceptional,Free Cancellation
Apartamentos La Ruta, 279,8,352,very good,No Free Cancellation
NH Collection Madrid Gran VÃ­a, 944,9,1688,wonderful,No Free Cancellation
Vincci Zaragoza Zentro, 402,8.5,4853,very good,No Free Cancellation
RVHotels Palau Lo Mirador, 266,8.5,712,very good,No Free Cancellation
Catalonia El Retiro, 580,8.7,2950,excellent,Free Cancellation
EDIFICIO 1521, 276,9.6,253,exceptional,Free Cancellation
